,Unnamed: 0,Prod5,brand_desc,Prod6,YEAR_c,WEEK_c,month_c,START_DATE,END_DATE,Region,m_sku_cd,m_sku_desc,tons,gsv,zcon,zpr1,y400,min_con_price_per_gram,avg_con_price_per_gram,max_con_price_per_gram,media_spend_value,tons_lag18,tons_lag19,tons_lag20,tons_lag21,tons_lagdiff_18_19,tons_lagdiff_19_20,tons_lagdiff_20_21,tons_rollingmean_18_19_20,media_lag_1,media_lag_2,media_lag_3,media_lag_4,media_lagdiff_1_2,media_lagdiff_2_3,media_lagdiff_3_4,price_lag_1,price_lag_2,price_lag_3,price_lag_4,price_lagdiff_1_2,price_lagdiff_2_3,price_lagdiff_3_4,sec_vol,sec_val,incentive_applied_pop_count,bonus,freeitems,unit,kg,bonus_flag,freeItems_flag,unit_flag,kg_flag,max_bonus,max_freeitems,max_unit,max_kg,min_bonus,min_freeitems,min_unit,min_kg,avg_bonus,avg_freeitems,avg_unit,avg_kg,incentive_applied_pop_count_lag_1,incentive_applied_pop_count_lag_2,incentive_applied_pop_count_lag_3,incentive_applied_pop_count_lag_4,incentive_applied_pop_count_lagdiff_1_2,incentive_applied_pop_count_lagdiff_2_3,incentive_applied_pop_count_lagdiff_3_4,bonus_lag_1,bonus_lag_2,bonus_lag_3,bonus_lag_4,bonus_lagdiff_1_2,bonus_lagdiff_2_3,bonus_lagdiff_3_4,freeitems_lag_1,freeitems_lag_2,freeitems_lag_3,freeitems_lag_4,freeitems_lagdiff_1_2,freeitems_lagdiff_2_3,freeitems_lagdiff_3_4,unit_lag_1,unit_lag_2,unit_lag_3,unit_lag_4,unit_lagdiff_1_2,unit_lagdiff_2_3,unit_lagdiff_3_4,kg_lag_1,kg_lag_2,kg_lag_3,kg_lag_4,kg_lagdiff_1_2,kg_lagdiff_2_3,kg_lagdiff_3_4,incentive_applied_pop_count_lead_1,incentive_applied_pop_count_lead_2,incentive_applied_pop_count_leaddiff_1_2,bonus_lead_1,bonus_lead_2,bonus_leaddiff_1_2,freeitems_lead_1,freeitems_lead_2,freeitems_leaddiff_1_2,unit_lead_1,unit_lead_2,unit_leaddiff_1_2,kg_lead_1,kg_lead_2,kg_leaddiff_1_2
208,208,473440041,,473440041B1,2015,42,10,2015-10-12,10/18/2015,LAHORE,MSPK65152064,PONDS FOAM WHT BEAUTY 4x6x100g,0.134,223885.2,4763.756670000001,4047.33,-5.54,46.712379999999996,47.16591,47.39267,2310000.0,0.18100000000000002,0.196,0.6609999999999999,0.122,-0.015,-0.465,0.539,0.34600000000000003,2310000.0,2310000.0,3696700.0,3696700.0,0.0,-1386700.0,0.0,47.16591,47.16591,47.16591,47.16591,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
528,528,473440041,,473440041B1,2018,27,7,2018-07-02,7/8/2018,LAHORE,MSPK65152064,PONDS FOAM WHT BEAUTY 4x6x100g,0.174,321574.4,4854.87,4121.8975,-5.57,46.712379999999996,48.068020000000004,50.774359999999994,4819500.0,0.406,0.24600000000000002,0.27899999999999997,0.424,0.16,-0.033,-0.145,0.310333333,1948800.0,1948800.0,1948800.0,1948800.0,0.0,0.0,0.0,48.068020000000004,48.068020000000004,48.068020000000004,48.068020000000004,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1028,1028,473440041,,473440041B1,2017,38,9,2017-09-18,9/24/2017,LAHORE,MSPK65152064,PONDS FOAM WHT BEAUTY 4x6x100g,0.267,486707.2,4854.87,4121.8975,-5.57,46.712379999999996,48.068020000000004,50.774359999999994,329700.0,0.16,0.096,0.299,0.201,0.064,-0.203,0.098,0.185,329700.0,329700.0,263200.0,263200.0,0.0,66500.0,0.0,48.068020000000004,48.068020000000004,48.068020000000004,48.068020000000004,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1048,1048,473440041,,473440041B1,2016,46,11,2016-11-07,11/13/2016,LAHORE,MSPK65152064,PONDS FOAM WHT BEAUTY 4x6x100g,0.098,167913.9,4763.756670000001,4047.33,-5.54,46.712379999999996,47.16591,47.39267,6188700.0,0.17,0.094,0.239,0.23600000000000002,0.076,-0.145,0.003,0.167666667,6188700.0,5796000.0,3439800.0,3439800.0,392700.0,2356200.0,0.0,47.16591,47.16591,47.16591,47.16591,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1068,1068,473440041,,473440041B1,2016,44,10,2016-10-24,10/30/2016,LAHORE,MSPK65152064,PONDS FOAM WHT BEAUTY 4x6x100g,0.271,459764.25,4763.756670000001,4047.33,-5.54,46.712379999999996,47.16591,47.39267,5796000.0,0.239,0.23600000000000002,0.299,0.395,0.003,-0.063,-0.096,0.258,3439800.0,3439800.0,3439800.0,3439800.0,0.0,0.0,0.0,47.16591,47.16591,47.16591,47.16591,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1148,1148,473440041,,473440041B1,2017,15,4,2017-04-10,4/16/2017,LAHORE,MSPK65152064,PONDS FOAM WHT BEAUTY 4x6x100g,0.366,611686.35,4763.756670000001,4047.33,-5.54,46.712379999999996,47.16591,47.39267,924700.0,0.198,0.166,0.376,0.098,0.032,-0.21,0.278,0.246666667,924700.0,985600.0,985600.0,985600.0,-60900.0,0.0,0.0,47.16591,47.16591,47.16591,47.16591,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1208,1208,473440041,,473440041B1,2015,44,10,2015-10-26,11/1/2015,LAHORE,MSPK65152064,PONDS FOAM WHT BEAUTY 4x6x100g,0.18899999999999997,315838.05,4763.756670000001,4047.33,-5.54,46.712379999999996,47.16591,47.39267,2310000.0,0.105,0.242,0.18100000000000002,0.196,-0.13699999999999998,0.061,-0.015,0.17600000000000002,2310000.0,2310000.0,2310000.0,2310000.0,0.0,0.0,0.0,47.16591,47.16591,47.16591,47.16591,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2148,2148,473440041,,473440041B1,2018,49,12,2018-12-03,12/9/2018,LAHORE,MSPK65152064,PONDS FOAM WHT BEAUTY 4x6x100g,0.192,351993.6,4854.87,4121.8975,-5.57,46.712379999999996,48.068020000000004,50.774359999999994,1999900.0,0.38,0.29600000000000004,0.402,0.149,0.084,-0.106,0.253,0.359333333,3899700.0,3899700.0,3899700.0,3899700.0,0.0,0.0,0.0,48.068020000000004,48.068020000000004,48.068020000000004,48.068020000000004,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2188,2188,473440041,,473440041B1,2017,22,5,2017-05-29,6/4/2017,LAHORE,MSPK65152064,PONDS FOAM WHT BEAUTY 4x6x100g,0.271,455766.3,4763.756670000001,4047.33,-5.54,46.712379999999996,47.16591,47.39267,172900.0,0.28300000000000003,0.17300000000000001,0.303,0.304,0.11,-0.13,-0.001,0.253,172900.0,172900.0,172900.0,172900.0,0.0,0.0,0.0,47.16591,47.16591,47.16591,47.16591,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2248,2248,473440041,,473440041B1,2016,32,8,2016-08-01,8/7/2016,LAHORE,MSPK65152064,PONDS FOAM WHT BEAUTY 4x6x100g,0.381,635674.05,4763.756670000001,4047.33,-5.54,46.712379999999996,47.16591,47.39267,284200.0,0.327,0.226,0.10300000000000001,0.161,0.10099999999999999,0.12300000000000001,-0.057999999999999996,0.21866666699999998,284200.0,3444000.0,3444000.0,3444000.0,-3159800.0,0.0,0.0,47.16591,47.16591,47.16591,47.16591,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
