Maximum,Mean,Median,Minimum,Null_Count,Quantile_25,Quantile_75,Std_Dev,Unique_values,VariableName,prof_quant_25,prof_quant_75,prof_std,Date,Time,ProcessID,Data_Stage,Region,SKU
17810100.0,6796456.8965517245,6454000.0,0.0,0,2404500.0,9725100.0,4857403.031044907,0,media_spend_value,,,,2020-08-11,19:21:59.809934,1,Raw,PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G
17810100.0,6915692.98245614,6454000.0,0.0,1,2404500.0,9725100.0,4814183.936328878,0,media_lag_1,,,,2020-08-11,19:21:59.809934,1,Raw,PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G
5.8857800000000005,5.816264912280705,5.76924,5.76924,1,5.76924,5.8857800000000005,0.05768288174898336,0,price_lag_1,,,,2020-08-11,19:21:59.809934,1,Raw,PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G
451.0,193.68965517241378,224.0,23.0,0,59.25,305.0,132.64888449502223,0,incentive_applied_pop_count,,,,2020-08-11,19:21:59.809934,1,Raw,PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G
2.555556,1.9889947586206893,1.9367044999999998,1.275,0,1.66428725,2.346807,0.36669748016756126,0,avg_bonus,,,,2020-08-11,19:21:59.809934,1,Raw,PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G
451.0,189.6,207.0,23.0,3,55.5,305.0,134.85363808108295,0,incentive_applied_pop_count_lag_3,,,,2020-08-11,19:21:59.809934,1,Raw,PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G
224.0,5.218181818181818,7.0,-332.0,3,-29.0,40.5,99.05922114033248,0,incentive_applied_pop_count_lagdiff_2_3,,,,2020-08-11,19:21:59.809934,1,Raw,PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G
430.0,120.63636363636364,109.0,12.0,3,25.5,190.5,108.59206089874017,0,bonus_lag_3,,,,2020-08-11,19:21:59.809934,1,Raw,PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G
0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0,freeitems_lag_2,,,,2020-08-11,19:21:59.809934,1,Raw,PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G
0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0,freeitems_lagdiff_3_4,,,,2020-08-11,19:21:59.809934,1,Raw,PESHAWAR,KNORR BLOCK NOODLES CHATPATA 18X264G
