Maximum,Mean,Median,Minimum,Null_Count,Quantile_25,Quantile_75,Std_Dev,Unique_values,VariableName,prof_quant_25,prof_quant_75,prof_std,Date,Time,ProcessID,Data_Stage,Region,SKU
12162500.0,3161881.25,2410800.0,3500.0,0,831950.0,4391725.0,2967181.1171245705,0,media_spend_value,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
12162500.0,3167494.685990338,2410800.0,3500.0,1,739200.0,4429550.0,2973266.958470236,0,media_lag_1,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
48.06802,47.50853831730764,47.16591,47.16591,0,47.16591,48.06802,0.43888532302715794,0,price_lag_1,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,incentive_applied_pop_count,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,avg_bonus,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,incentive_applied_pop_count_lag_3,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,incentive_applied_pop_count_lagdiff_2_3,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,bonus_lag_3,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,freeitems_lag_2,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,freeitems_lagdiff_3_4,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
